linha;produto;tamanho;ingredientes;modo de preparo;observacoes;imagem
Milkshakes Tradicionais;Abacaxi;250ml;"Cobertura de abacaxi c/ pedaços; Sorvete de baunilha; Cobertura de abacaxi Marvi";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços e o sorvete de baunilha. Misture no batedor até homogeneizar. Opcional: finalize com 1/2 concha de cobertura de abacaxi.;;abacaxi.jpg
Milkshakes Tradicionais;Abacaxi;400ml;"Cobertura de abacaxi c/ pedaços; Sorvete de baunilha; Cobertura de abacaxi Marvi";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços e o sorvete de baunilha. Misture no batedor até homogeneizar. Opcional: finalize com 1/2 concha de cobertura de abacaxi.;;abacaxi.jpg
Milkshakes Tradicionais;Abacaxi;500ml;"Cobertura de abacaxi c/ pedaços; Sorvete de baunilha; Cobertura de abacaxi Marvi";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços e o sorvete de baunilha. Misture no batedor até homogeneizar. Opcional: finalize com 1/2 concha de cobertura de abacaxi.;;abacaxi.jpg
Milkshakes Tradicionais;Abacaxi;700ml;"Cobertura de abacaxi c/ pedaços; Sorvete de baunilha; Cobertura de abacaxi Marvi";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços e o sorvete de baunilha. Misture no batedor até homogeneizar. Opcional: finalize com 1/2 concha de cobertura de abacaxi.;;abacaxi.jpg
Milkshakes Tradicionais;Abacaxi ao Vinho;250ml;"Preparado de abacaxi ao vinho; Sorvete de baunilha";Coloque o preparado de abacaxi ao vinho (medida da tabela) e o sorvete de baunilha. Misture no batedor até homogeneizar.;;abacaxi_vinho.jpg
Milkshakes Tradicionais;Abacaxi ao Vinho;400ml;"Preparado de abacaxi ao vinho; Sorvete de baunilha";Coloque o preparado de abacaxi ao vinho (medida da tabela) e o sorvete de baunilha. Misture no batedor até homogeneizar.;;abacaxi_vinho.jpg
Milkshakes Tradicionais;Abacaxi ao Vinho;500ml;"Preparado de abacaxi ao vinho; Sorvete de baunilha";Coloque o preparado de abacaxi ao vinho (medida da tabela) e o sorvete de baunilha. Misture no batedor até homogeneizar.;;abacaxi_vinho.jpg
Milkshakes Tradicionais;Abacaxi ao Vinho;700ml;"Preparado de abacaxi ao vinho; Sorvete de baunilha";Coloque o preparado de abacaxi ao vinho (medida da tabela) e o sorvete de baunilha. Misture no batedor até homogeneizar.;;abacaxi_vinho.jpg
Milkshakes Tradicionais;Abacaxi com Hortelã;250ml;"Cobertura de abacaxi c/ pedaços; Pó de abacaxi com hortelã; Sorvete de baunilha";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços, o pó de abacaxi com hortelã (medida da tabela) e o sorvete. Misture no batedor.;;abacaxi_hortela.jpg
Milkshakes Tradicionais;Abacaxi com Hortelã;400ml;"Cobertura de abacaxi c/ pedaços; Pó de abacaxi com hortelã; Sorvete de baunilha";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços, o pó de abacaxi com hortelã (medida da tabela) e o sorvete. Misture no batedor.;;abacaxi_hortela.jpg
Milkshakes Tradicionais;Abacaxi com Hortelã;500ml;"Cobertura de abacaxi c/ pedaços; Pó de abacaxi com hortelã; Sorvete de baunilha";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços, o pó de abacaxi com hortelã (medida da tabela) e o sorvete. Misture no batedor.;;abacaxi_hortela.jpg
Milkshakes Tradicionais;Abacaxi com Hortelã;700ml;"Cobertura de abacaxi c/ pedaços; Pó de abacaxi com hortelã; Sorvete de baunilha";Decore o copo com cobertura de abacaxi Marvi. Adicione a cobertura c/ pedaços, o pó de abacaxi com hortelã (medida da tabela) e o sorvete. Misture no batedor.;;abacaxi_hortela.jpg
Milkshakes Tradicionais;Algodão Doce;250ml;"Pó blue ice; Sorvete de baunilha; Leite; Cobertura de groselha azul Marvi";Decore o copo com cobertura de groselha azul Marvi. Adicione leite até a marcação, o pó blue ice (medida da tabela) e o sorvete. Misture no batedor.;;algodao_doce.jpg
Milkshakes Tradicionais;Algodão Doce;400ml;"Pó blue ice; Sorvete de baunilha; Leite; Cobertura de groselha azul Marvi";Decore o copo com cobertura de groselha azul Marvi. Adicione leite até a marcação, o pó blue ice (medida da tabela) e o sorvete. Misture no batedor.;;algodao_doce.jpg
Milkshakes Tradicionais;Algodão Doce;500ml;"Pó blue ice; Sorvete de baunilha; Leite; Cobertura de groselha azul Marvi";Decore o copo com cobertura de groselha azul Marvi. Adicione leite até a marcação, o pó blue ice (medida da tabela) e o sorvete. Misture no batedor.;;algodao_doce.jpg
Milkshakes Tradicionais;Algodão Doce;700ml;"Pó blue ice; Sorvete de baunilha; Leite; Cobertura de groselha azul Marvi";Decore o copo com cobertura de groselha azul Marvi. Adicione leite até a marcação, o pó blue ice (medida da tabela) e o sorvete. Misture no batedor.;;algodao_doce.jpg
Milkshakes Tradicionais;Ameixa;250ml;"Cobertura de ameixa; Sorvete de baunilha";Adicione a cobertura de ameixa (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;ameixa.jpg
Milkshakes Tradicionais;Ameixa;400ml;"Cobertura de ameixa; Sorvete de baunilha";Adicione a cobertura de ameixa (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;ameixa.jpg
Milkshakes Tradicionais;Ameixa;500ml;"Cobertura de ameixa; Sorvete de baunilha";Adicione a cobertura de ameixa (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;ameixa.jpg
Milkshakes Tradicionais;Ameixa;700ml;"Cobertura de ameixa; Sorvete de baunilha";Adicione a cobertura de ameixa (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;ameixa.jpg
Milkshakes Tradicionais;Amendoim;250ml;"Pasta de amendoim; Amendoim torrado granulado; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado, fazendo movimentos circulares para manter a crocância. Opcional: finalize com 25% da medida D de amendoim torrado.";;amendoim.jpg
Milkshakes Tradicionais;Amendoim;400ml;"Pasta de amendoim; Amendoim torrado granulado; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado, fazendo movimentos circulares para manter a crocância. Opcional: finalize com 25% da medida D de amendoim torrado.";;amendoim.jpg
Milkshakes Tradicionais;Amendoim;500ml;"Pasta de amendoim; Amendoim torrado granulado; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado, fazendo movimentos circulares para manter a crocância. Opcional: finalize com 25% da medida D de amendoim torrado.";;amendoim.jpg
Milkshakes Tradicionais;Amendoim;700ml;"Pasta de amendoim; Amendoim torrado granulado; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado, fazendo movimentos circulares para manter a crocância. Opcional: finalize com 25% da medida D de amendoim torrado.";;amendoim.jpg
Milkshakes Tradicionais;Amora;250ml;"Cobertura de amora; Sorvete de baunilha";Adicione a cobertura de amora (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;amora.jpg
Milkshakes Tradicionais;Amora;400ml;"Cobertura de amora; Sorvete de baunilha";Adicione a cobertura de amora (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;amora.jpg
Milkshakes Tradicionais;Amora;500ml;"Cobertura de amora; Sorvete de baunilha";Adicione a cobertura de amora (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;amora.jpg
Milkshakes Tradicionais;Amora;700ml;"Cobertura de amora; Sorvete de baunilha";Adicione a cobertura de amora (medida da tabela) e o sorvete de baunilha. Misture no batedor.;;amora.jpg
Milkshakes Tradicionais;Banana;250ml;"Pó de banana; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque o pó de banana (medida da tabela) e o sorvete. Misture no batedor.";;banana.jpg
Milkshakes Tradicionais;Banana;400ml;"Pó de banana; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque o pó de banana (medida da tabela) e o sorvete. Misture no batedor.";;banana.jpg
